CBD,LAT,LON,THK,SRF
592,-79.639496,-152.268295,9999,9999
593,-79.635406,-152.177795,9999,9999
594,-79.631302,-152.085999,9999,9999
595,-79.623093,-152.002396,9999,9999
596,-79.619003,-151.906494,9999,9999
597,-79.612106,-151.822906,9999,9999
598,-79.606705,-151.733795,9999,9999
599,-79.601196,-151.635101,9999,9999
600,-79.594299,-151.541901,9999,9999
601,-79.588806,-151.454102,9999,9999
602,-79.584702,-151.363693,9999,9999
603,-79.576508,-151.269104,9999,9999
604,-79.572403,-151.181396,9999,9999
605,-79.565598,-151.093704,9999,9999
606,-79.557297,-151.001907,9999,9999
607,-79.553207,-150.910004,9999,9999
608,-79.546402,-150.815506,9999,9999
609,-79.540894,-150.723602,9999,9999
610,-79.5327,-150.623505,9999,9999
611,-79.528595,-150.535797,9999,9999
612,-79.521698,-150.453506,9999,9999
613,-79.514893,-150.357605,9999,9999
614,-79.507996,-150.267105,9999,9999
615,-79.502502,-150.184906,9999,9999
616,-79.495697,-150.087601,9999,9999
617,-79.491592,-150.003998,9999,9999
618,-79.484802,-149.912094,9999,9999
619,-79.477905,-149.820297,9999,9999
620,-79.472397,-149.733994,9999,9999
621,-79.465607,-149.644806,9999,9999
622,-79.460098,-149.562607,9999,9999
623,-79.453201,-149.473495,9999,9999
624,-79.449203,-149.380295,9999,9999
625,-79.444702,-149.2892,9999,9999
626,-79.442307,-149.197998,9999,9999
627,-79.436905,-149.0979,9999,9999
628,-79.434097,-149.008896,9999,9999
629,-79.429993,-148.9198,9999,9999
630,-79.425903,-148.830597,9999,9999
631,-79.421799,-148.740204,9999,9999
632,-79.416306,-148.656601,9999,9999
633,-79.4095,-148.571594,9999,9999
634,-79.402603,-148.488007,9999,9999
635,-79.398605,-148.401596,9999,9999
636,-79.391693,-148.309799,9999,9999
637,-79.3862,-148.223404,9999,9999
638,-79.380707,-148.141205,9999,9999
639,-79.373901,-148.056198,9999,9999
640,-79.367096,-147.973907,9999,9999
641,-79.360199,-147.890305,9999,9999
642,-79.354706,-147.804001,9999,9999
643,-79.3479,-147.725906,9999,9999
644,-79.339706,-147.647797,9999,9999
645,-79.325897,-147.581894,9999,9999
646,-79.310806,-147.572403,9999,9999
647,-79.295807,-147.604095,9999,9999
648,-79.286102,-147.678497,9999,9999
649,-79.283401,-147.767899,9999,9999
650,-79.288895,-147.860001,9999,9999
651,-79.302597,-147.930298,9999,9999
652,-79.320496,-147.962097,9999,9999
653,-79.339706,-147.929398,9999,9999
654,-79.358994,-147.876099,9999,9999
655,-79.375397,-147.824203,9999,9999
656,-79.393295,-147.774994,9999,9999
657,-79.409805,-147.723007,9999,9999
658,-79.4263,-147.668304,9999,9999
659,-79.444199,-147.616302,9999,9999
660,-79.460693,-147.561707,9999,9999
661,-79.4785,-147.513794,9999,9999
662,-79.493698,-147.456406,9999,9999
663,-79.514297,-147.404495,9999,9999
664,-79.530807,-147.353897,9999,9999
665,-79.545898,-147.302002,9999,9999
666,-79.565094,-147.248703,9999,9999
667,-79.582993,-147.2146,9999,9999
668,-79.599503,-147.170898,9999,9999
669,-79.617401,-147.128601,9999,9999
670,-79.636597,-147.086304,9999,9999
671,-79.651703,-147.041199,9999,9999
672,-79.673706,-146.990707,9999,9999
673,-79.691605,-146.945602,9999,9999
674,-79.708099,-146.904602,9999,9999
675,-79.725998,-146.860901,9999,9999
676,-79.742401,-146.818604,9999,9999
677,-79.7603,-146.774902,9999,9999
678,-79.778198,-146.7258,9999,9999
679,-79.796005,-146.684799,9999,9999
680,-79.809799,-146.617706,9999,9999
681,-79.816696,-146.5177,9999,9999
682,-79.809799,-146.417603,9999,9999
683,-79.796097,-146.358704,9999,9999
684,-79.781006,-146.351898,9999,9999
685,-79.7659,-146.416595,9999,9999
686,-79.760406,-146.489502,9999,9999
687,-79.764496,-146.587204,9999,9999
688,-79.772797,-146.683594,9999,9999
